,year,title,authors
35855,2012,Order book dynamics in liquid markets: limit theorems and diffusion approximations,Cont R.
35858,2013,Price dynamics in a Markovian limit order market,Cont R.
35859,2014,The price impact of order book events,Cont R.
35861,2003,Quantitative model of price diffusion and market friction based on trading as a mechanistic random process,Daniels M.G.
35862,2003,Determinants of Order Choice on the New York Stock Exchange,Ellul A.
35863,1987,Dynamic model specification with equilibrium constraints: Co-integration and error-correction,Engle R.F.
35864,2003,The Yule Walker equations for the AR coefficients,Eshel G.
35865,1976,Foundations of Finance: Portfolio Decisions and Securities Prices,Fama E.
35866,2007,An application of recurrent neural networks to discriminative keyword spotting,Fernández S.
35868,2011,Discrete Stochastic Processes. RES.6-262. Massachusetts Institute of Technology: MIT OpenCourseWare,Gallager R.
35869,2001,An introduction to High-Frequency Finance,Gençay R.
35872,2008,Order aggressiveness and order book dynamics,Hall A.D.
35873,1995,Time series analysis. Economic Theory,Hamilton J.D.
35874,2011,Liquidity biases and the pricing of cross-sectional idiosyncratic volatility,Han Y.
35878,2009,Microstructure noise in the continuous case: the pre-averaging approach,Jacod J.
35881,1999,"Object recognition with gradient-based learning. Shape, Contour and Grouping in Computer Vision",LeCun Y.
35882,2014,Autoencoder for words,Liou C.-Y.
35884,2019,Feature Engineering for Mid-Price Prediction With Deep Learning,Ntakaris A.
35885,2006,Properties of Realized Variance under Alternative Sampling Schemes,Oomen R.C.A.
35886,1987,The New Palgrave: A Dictionary of Economics,Palgrave R.H.I.
35887,2000,Physiological time-series analysis using approximate entropy and sample entropy,Richman J.S.
35888,1961,Principles of Neurodynamics. Perceptrons and the Theory of Brain Mechanisms,Rosenblatt F.
35889,2003,Why Stock prices Have a log-normal Distribution,Rosenkrantz W.A.
35891,2004,"Economics, chapter 18",Samuelson P.A.
35892,2019,Deep learning for limit order books,Sirignano J.A.
35893,2003,Statistical theory of the continuous double auction,Smith E.
35895,1988,Neural networks. II. What are they and why is everybody so interested in them now?,Wasserman P.D.
35896,1986,The relative strength index,Wilder J.W.
35898,1985,The ultimate oscillator,Williams L.
35899,2015,Introductory Econometrics: A modern Approach,Wooldridge J.M.
35900,2005,A tale of two time scales: Determining integrated volatility with noisy high-frequency data,Zhang L.
35901,2010,A model of limit-order book dynamics and a consistent estimation procedure,Zhao L.
35915,1989,Individual stocks and macd,Aspray T.
35916,2016,Equity premium prediction: Are economic and technical indicators unstable?,Baetje F.
35917,2004,Hedging and portfolio optimization in financial markets with a large trader,Bank P.
35918,2007,Judgemental bootstrapping of technical traders in the bond market,Batchelor R.
35919,1994,Using mutual information for selecting features in supervised neural net learning,Battiti R.
35920,1991,Double smoothed-stochastics,Blau W.
35922,2001,Bollinger on Bollinger bands,Bollinger J.
35924,2013,Automatic method for stock trading combining technical analysis and the artificial bee colony algorithm,Brasileiro R.C.
35925,1988,"Radial basis functions, multi-variable functional interpolation and adaptive networks",Broomhead D.S.
35926,1999,On portfolio optimization: Forecasting covariances and choosing the risk model,Chan L.K.C.
35927,1992,Adapting moving averages to market volatility,Chande T.S.
35928,1994,The new technical trader,Chande T.S.
35929,2014,A survey on feature selection methods,Chandrashekar G.
35930,2011,Feature selectionfor unlabeled data,Chen C.-H.
35931,2006,Sammy Chua’s Day Trade Your Way to Financial Freedom,Chua S.
35933,2013,"Applying artificial neural networks to prediction of stock price and improvement of the directional prediction index - case study of petr4, petrobras, brazil",Oliveira F.A.
35934,2001,Computational learning techniques for intraday fx trading using popular technical indicators,Dempster M.A.H.
35935,1999,Multivariate density forecast evaluation and calibration in financial risk management: High-frequency returns on foreign exchange,Diebold F.X.
35937,1993,The trajectory of corporate financial risk management,Dolde W.
35938,1987,"Co-integration and error correction: representation, estimation, and testing",Engle R.F.
35939,1987,"Co-integration and error correction: Representation, estimation, and testing",Engle R.F.
35940,2003,The yule walker equations for the ar coefficients,Eshel G.
35941,1968,"Risk, return and equilibrium: some clarifying comments",Fama E.F.
35942,2003,The predictability of asset returns: an approach combining technical analysis and time series forecasts,Fang Y.
35943,2003,The treynor capital asset pricing model,French C.W.
35944,2014,Co-evolving online high-frequency trading strategies using grammatical evolution,Gabrielsson P.
35946,1982,Modern Financial Theory: Perfect and Imperfect Markets,Hampton J.J.
35948,2000,Portfolio selection under independent possibilistic information,Inuiguchi M.
35950,2015,On the kernel extreme learning machine classifier,Iosifidis A.
35954,2010,High frequency trading using fuzzy momentum analysis,Kablan A.
35955,1960,How to make money in commodities,Keltner C.W.
35958,1990,Identification of rational transfer function from frequency response sample,Kumaresan R.
35960,1965,The valuation of risk assets and the selection of risky investments in stock portfolios and capital budgets,Lintner J.
35961,2009,Feature selection with dynamic mutual information,Liu H.
35963,2015,Trading on mean-reversion in energy futures markets,Lubnau T.
35965,1968,Portfolio selection: efficient diversification of investments,Markowitz H.M.
35966,1966,Equilibrium in a capital asset market,Mossin J.
35967,1994,Smoothing data with faster moving averages,Mulloy P.G.
35968,2000,Ichimoku charts,Muranaka K.
35969,1999,Technical Analysis of the Financial Markets: A Comprehensive Guide to Trading Methods and Applications,Murphy J.
35970,2009,Small encyclopedia of trader,Naiman E.
35971,2000,Cs229 lecture notes,Ng A.
35972,2019,Feature engineering for mid-price prediction with deep learning,Ntakaris A.
35973,2014,The ibs effect: Mean reversion in equity etfs,Pagonidis A.S.
35975,1984,Large-scale portfolio optimization,Perold A.F.
35978,2011,Cast: Using neural networks to improve trading systems based on technical analysis by means of the rsi financial indicator,Rodriguez-Gonzalez A.
35979,1977,"The capital asset pricing model (capm), short-sale restrictions and related issues",Ross S.A.
35981,2011,What is a savitzky-golay filter? [lecture notes,Schafer R.W.
35982,2012,High-frequency technical trading: The importance of speed,Scholtus M.
35986,1989,Managing financial risk,Smith C.W.
35987,1999,The scientist and engineer’s guide to digital signal processing,Smith S.W.
35988,2010,Feature selection based on linear discriminant analysis,Song F.
35989,2008,Modelling financial time series,Taylor S.J.
35991,1998,Better moving averages,Tillson T.
35992,2004,Using the heikin-ashi technique,Valcu D.
35993,2010,Automatic stock decision support system based on box theory and svm algorithm,Wen Q.
35994,1978,New concepts in technical trading systems,Wilder J.W.
35995,1986,The relative strength index ?,
35997,2009,Prototype vector machine for large scale semisupervised learning,Zhang K.
35998,2017,"Mid- financial markets,’",Ntakaris A.
35999,2008,"‘Time-series classification using neural bag-of-features,’",Iosifidis A.
36000,2001,"‘4—Adaptive data cleaning,’’ in An Introduction in quantitative finance from the Tampere Univerto High-Frequency Finance",Dacorogna M.M.
36001,2006,"‘Financial econometric analysis at ultraences. His research agenda focused on statistical high frequency: Data handling concerns,’",Brownlees C.T.
36002,2009,"‘Real- management. In his research, he is not only using ized kernels in practice: Trades and quotes,’",Barndorff-Nielsen O.E.
36003,1998,"‘Answering the skeptics: Yes, standard dynamics and liquidity, and financial networks. He has published finance and volatility models do provide accurate forecasts,’",Andersen T.G.
36004,2008,"‘Designing realized kernels to measure the ex post variation has been coordinating two international EU projects, BigDataFinance and of equity prices in the presence of noise,’",Barndorff-Nielsen O.E.
36005,2009,"‘Microstructure noise in the continuous case: The pre-averaging approach,’",Jacod J.
36006,1992,found significant size and book-to-market effects in,
36007,1997,A theoretical analysis of trading rules: an application to the moving average case with Markovian returns,Acar E.
36008,1961,Price Movements in Speculative Markets: Trends or Random Walks,Alexander S.S.
36009,2001,On Modeling Speculative Prices,Andreou E.
36010,2001,"Stock Return Predictability: Is it there?""",Ang A.
36011,1997,Technical Analysis,Antoniou A.
36012,1981,The Relationship Between Return and Market Value of Common Stocks,Banz R.W.
36013,1980,On the Dynamic Behavior of Prices in,Beja A.
36014,1995,The Profitability of Technical Trading Rules in the Asian Stock Markets,H. Bessembinder
36015,1998,Market Efficiency and the Returns to Technical Analysis,H. Bessembinder
36016,1985,The Weak Form Efficiency of the London Metal Exchange,Bird P.J.W.N.
36019,2005,The predictive ability and profitability of technical trading rules: does company size matter?,Bokhari J.
36020,1981,Relative Strength: Further Positive Evidence,Bohan J.
36021,1987,Futures Funds and Price Volatility,Brorsen B.W.
36022,1997,Does quoted depth predict intraday theory and evidence,Brown G.W.
36024,2001,"Pricing under Asymmetric Information - Bubbles, Crashes, Technical Analysis, and Herding",Brunnermeier M.K.
36025,1986,Eight Relative Strength Models Compared,Brush J.S.
36026,1983,The Predictive Power in Relative Strength and CAPM,Brush J.S.
36027,1998,Predictive Power of Price Patterns,Caginalp G.
36028,1999,By Force of Habit: A Consumption-Based Explanation of Aggregate Stock Market Behavior,Campbell J.Y.
36030,1999,Methodical Madness: Technical Analysis and the Irrationality of Exchange-Rate Forecasts,Chang P.H.K.
36031,2001,Currency Traders and Exchange Rate Dynamics: A Survey of the US,Cheung Y.W.
36032,1997,The Performance of Trading Rules on Four Asian Currency Exchange Rates,Cheung Y.W.
36033,2000,A Survey of Market Practitioners',Cheung Y.W.
36034,2000,How Do UK-Based Foreign Exchange Dealers Think Their Market Operates?,Cheung Y.W.
36035,1992,Measuring Abnormal Performance: Do Stocks Overreact?,Chopra N.J.Lakonishok
36036,2006,"Liquidity and Market Efficiency""",Chordia Tarun
36037,1997,Charting: Chaos Theory in Disguise?,C. Clyde W.
36038,2001,Asset Pricing,Cochrane J.H.
36039,1996,Asset pricing with Heterogeneous Consumers,Constantinides G.M.
